date,mode,ridership
2019-01-01,Bus,325679
2019-01-01,LRT,467497
2019-01-01,MRT,264031
2019-01-01,Monorail,64629
2019-01-01,KTM,245591
2019-01-02,Bus,323825
2019-01-02,LRT,471616
2019-01-02,MRT,255985
2019-01-02,Monorail,66676
2019-01-02,KTM,244276
2019-01-03,Bus,328755
2019-01-03,LRT,451471
2019-01-03,MRT,259026
2019-01-03,Monorail,63097
2019-01-03,KTM,241471
2019-01-04,Bus,326886
2019-01-04,LRT,470877
2019-01-04,MRT,260255
2019-01-04,Monorail,69010
2019-01-04,KTM,243782
2019-01-05,Bus,221197
2019-01-05,LRT,341638
2019-01-05,MRT,178102
2019-01-05,Monorail,44709
2019-01-05,KTM,183436
2019-01-06,Bus,196128
2019-01-06,LRT,296875
2019-01-06,MRT,153944
2019-01-06,Monorail,40136
2019-01-06,KTM,141210
2019-01-07,Bus,319177
2019-01-07,LRT,459142
2019-01-07,MRT,267026
2019-01-07,Monorail,63184
2019-01-07,KTM,240965
2019-01-08,Bus,317401
2019-01-08,LRT,455546
2019-01-08,MRT,245814
2019-01-08,Monorail,64262
2019-01-08,KTM,256358
2019-01-09,Bus,324167
2019-01-09,LRT,472747
2019-01-09,MRT,260788
2019-01-09,Monorail,65642
2019-01-09,KTM,241627
2019-01-10,Bus,321152
2019-01-10,LRT,456197
2019-01-10,MRT,254304
2019-01-10,Monorail,64514
2019-01-10,KTM,237586
2019-01-11,Bus,329730
2019-01-11,LRT,474694
2019-01-11,MRT,249511
2019-01-11,Monorail,67706
2019-01-11,KTM,241461
2019-01-12,Bus,241186
2019-01-12,LRT,338844
2019-01-12,MRT,199824
2019-01-12,Monorail,47533
2019-01-12,KTM,163970
2019-01-13,Bus,200058
2019-01-13,LRT,298355
2019-01-13,MRT,151605
2019-01-13,Monorail,39603
2019-01-13,KTM,141772
2019-01-14,Bus,323599
2019-01-14,LRT,449424
2019-01-14,MRT,247375
2019-01-14,Monorail,65000
2019-01-14,KTM,225189
2019-01-15,Bus,325851
2019-01-15,LRT,456174
2019-01-15,MRT,254308
2019-01-15,Monorail,67567
2019-01-15,KTM,232290
2019-01-16,Bus,316447
2019-01-16,LRT,456778
2019-01-16,MRT,249575
2019-01-16,Monorail,66888
2019-01-16,KTM,231335
2019-01-17,Bus,315386
2019-01-17,LRT,460829
2019-01-17,MRT,255218
2019-01-17,Monorail,62823
2019-01-17,KTM,239656
2019-01-18,Bus,308973
2019-01-18,LRT,470899
2019-01-18,MRT,256072
2019-01-18,Monorail,63643
2019-01-18,KTM,233513
2019-01-19,Bus,235808
2019-01-19,LRT,339009
2019-01-19,MRT,185103
2019-01-19,Monorail,47651
2019-01-19,KTM,156824
2019-01-20,Bus,195545
2019-01-20,LRT,288101
2019-01-20,MRT,156722
2019-01-20,Monorail,40879
2019-01-20,KTM,150798
