date,bus_rkl,bus_rkn,bus_rpn,rail_lrt_ampang,rail_lrt_kj,rail_monorail,rail_mrt_kajang,rail_mrt_pjy,rail_ets,rail_intercity,rail_komuter,rail_komuter_utara,rail_tebrau
2019-01-01,189304,17521,118854,149911,317586,64629,264031,0,16551,5807,193107,24994,5132
2019-01-02,181674,18673,123478,150702,320914,66676,255985,0,13109,7599,196240,25219,2109
2019-01-03,191378,21712,115665,148177,303294,63097,259026,0,17458,6733,189551,25300,2429
2019-01-04,192234,16673,117979,146530,324347,69010,260255,0,12169,10886,191923,26305,2499
2019-01-05,123735,10337,87125,99550,242088,44709,178102,0,12564,4192,142630,19663,4387
2019-01-06,108517,13139,74472,93648,203227,40136,153944,0,8750,6031,111831,14392,206
2019-01-07,187149,16951,115077,146869,312273,63184,267026,0,16430,8580,185984,24812,5159
2019-01-08,184496,18104,114801,144730,310816,64262,245814,0,16150,7087,202330,26160,4631
2019-01-09,185952,17262,120953,151931,320816,65642,260788,0,15395,6410,191505,24030,4287
2019-01-10,181129,18486,121537,140005,316192,64514,254304,0,16037,6481,189385,22238,3445
2019-01-11,190507,16693,122530,153209,321485,67706,249511,0,15295,6360,191310,22812,5684
2019-01-12,137820,12739,90627,104951,233893,47533,199824,0,12048,6094,126613,16128,3087
2019-01-13,115214,11837,73007,91740,206615,39603,151605,0,12485,2748,111696,14269,574
2019-01-14,191270,16550,115779,143862,305562,65000,247375,0,13551,6108,180122,22977,2431
2019-01-15,187418,16978,121455,138168,318006,67567,254308,0,11040,5937,187859,25613,1841
2019-01-16,179877,17472,119098,144651,312127,66888,249575,0,14766,3981,183282,23628,5678
2019-01-17,186461,15878,113047,146552,314277,62823,255218,0,14657,7464,185652,25908,5975
2019-01-18,178914,17322,112737,147875,323024,63643,256072,0,14783,7732,183189,22294,5515
2019-01-19,137342,13073,85393,103373,235636,47651,185103,0,9748,3673,123962,16723,2718
2019-01-20,113679,10514,71352,80118,207983,40879,156722,0,10638,5286,119299,14996,579
2019-01-21,182565,17481,115858,137733,317804,62700,248643,0,13376,4138,174505,25123,2611
2019-01-22,179611,17826,119562,153199,312381,66135,258644,0,15832,6301,180034,25595,2695
2019-01-23,189923,16880,118333,139353,310668,62862,252573,0,16068,6091,176558,23045,3963
2019-01-24,182095,18819,120191,150145,296298,67066,249340,0,15615,6372,178762,25314,5893
2019-01-25,180366,19882,108666,139705,324984,65480,264156,0,15828,6358,184549,21273,5883
2019-01-26,129466,12120,83882,102597,221565,44140,180897,0,12191,4388,138766,18420,2229
2019-01-27,115969,11711,73811,91644,197962,38831,164738,0,9455,3340,104792,12707,0
2019-01-28,128871,12166,76767,97780,222337,44206,182921,0,10254,4254,125776,17067,1698
2019-01-29,128900,12767,78801,105005,209344,45116,183033,0,11028,5640,120991,17763,3921
2019-01-30,128815,13975,78249,100265,211208,44565,179624,0,11123,3799,125278,17489,3013
2019-01-31,135280,12883,80258,101315,227283,43224,175703,0,11383,6472,127753,14816,2455
2019-02-01,124367,10456,83520,98269,217173,42514,173909,0,8837,3705,129398,15931,2366
2019-02-02,88581,9280,62142,73258,150948,32690,123998,0,7345,3323,82677,12546,1281
2019-02-03,106769,12628,67431,94409,188982,39801,137375,0,7799,4575,114746,15522,820
2019-02-04,182644,17130,115042,140446,316613,63421,253495,0,15637,5733,174521,23755,6736
2019-02-05,185252,18879,115010,148362,314787,63662,249551,0,15842,7985,172940,20009,6254
2019-02-06,178150,16403,114267,137997,291711,61846,253678,0,14471,6847,179834,25078,2819
2019-02-07,173904,15224,114161,143799,320614,63330,246147,0,13838,5827,182708,25315,1556
2019-02-08,173757,17568,113681,142420,313902,67840,251806,0,15609,7947,178436,23466,4147
2019-02-09,131816,9929,86873,96229,217706,47511,166867,0,10464,3012,122639,17040,2619
2019-02-10,114373,10387,73490,87681,177198,38326,143618,0,11079,3006,110122,15113,3271
2019-02-11,180610,19166,108471,139767,313521,61619,226797,0,17138,6831,174257,25319,5057
2019-02-12,173688,14491,114800,135835,307654,56977,244381,0,16075,7145,181394,23473,2318
2019-02-13,178410,15385,114986,140914,288963,64554,239165,0,15019,6490,183768,22779,5621
2019-02-14,177529,15721,112816,139802,300131,63918,237828,0,17149,5875,183169,23607,3410
2019-02-15,177848,17107,115513,138657,331449,61238,246961,0,14989,5699,177201,22986,4702
2019-02-16,131821,11834,80869,99623,217226,42000,172468,0,9896,5869,133716,16539,2438
2019-02-17,110446,12669,69675,85530,179647,36264,140141,0,8155,4058,103958,11573,3645
2019-02-18,179649,18515,111515,136788,291104,62902,262838,0,13653,4835,186458,23690,676
2019-02-19,176017,17823,103885,138798,316951,61773,242740,0,14573,4749,170613,24630,4857
2019-02-20,176989,17289,110492,135189,307783,63206,234386,0,15185,8039,164789,24370,2731
2019-02-21,178625,17625,108278,149346,312635,61936,237195,0,12629,5016,183378,24233,3948
2019-02-22,166821,15773,106306,131456,301241,63562,240639,0,13912,6346,171601,22694,5523
2019-02-23,123958,13489,84413,96372,226737,45062,172615,0,10725,6121,126851,16591,1679
2019-02-24,105501,8908,70036,82850,176748,39742,159533,0,9843,4427,102792,15864,1080
2019-02-25,170563,18167,109851,145848,299095,57326,240273,0,14418,4928,187875,23972,3324
2019-02-26,172310,18651,107816,131021,299819,58901,254707,0,14761,4571,184602,24866,3233
2019-02-27,181830,17207,110654,138407,309716,60503,236838,0,12737,8457,182807,21593,2396
2019-02-28,168509,16617,112912,137423,299206,63224,243038,0,13156,4518,174445,21549,3952
2019-03-01,176723,17268,105346,136278,286988,64107,244927,0,14144,5111,177463,21817,3979
2019-03-02,113888,7832,77789,102301,211162,43128,179594,0,10916,4714,123366,14628,3332
2019-03-03,104063,10753,69925,88618,165184,36162,156581,0,9105,3325,112545,11810,1221
2019-03-04,171457,16442,100960,132226,269578,56341,233904,0,13013,6605,168926,22913,2474
2019-03-05,173524,16506,107346,134815,298898,61740,235563,0,13817,3839,179724,22775,3582
2019-03-06,173938,17581,105873,125645,287027,58886,216255,0,16154,5527,168094,22508,3405
2019-03-07,174114,16417,106729,133966,287622,65629,233338,0,14825,6717,168444,22633,3425
2019-03-08,167519,14840,105267,129860,297466,58320,242797,0,13848,6712,167501,19870,2769
2019-03-09,119242,11654,77406,95015,221376,47062,175383,0,8726,3391,123329,15141,3122
2019-03-10,109449,10293,72847,75047,184011,38388,144211,0,7729,2200,102949,13195,1029
2019-03-11,167536,16583,105349,134404,306376,57456,246267,0,14005,6052,171938,22027,3540
2019-03-12,161252,16623,107317,125036,292413,59812,229932,0,14345,3981,166275,19728,3285
2019-03-13,161749,17872,113081,132833,290023,60761,226990,0,14712,7477,173042,20488,3647
2019-03-14,162640,14751,104010,126623,288939,58714,228483,0,14448,5946,176787,21187,5286
2019-03-15,170178,16558,112082,128031,274017,60684,223070,0,13400,4783,168495,23390,1905
2019-03-16,121123,13594,76020,99699,214708,44032,171260,0,9300,2690,133105,16063,0
2019-03-17,107255,7548,71551,83938,153683,37644,145325,0,11351,2681,110088,15002,1471
2019-03-18,164173,16477,107800,136022,279097,58702,235086,0,13074,3584,179035,21503,2105
2019-03-19,167110,15334,106062,137570,284337,56337,226832,0,12056,6350,166525,21649,0
2019-03-20,169388,15617,104568,127185,276138,58371,229138,0,11563,4588,157338,22356,6004
2019-03-21,163913,14810,102425,136827,278809,58756,212494,0,13273,6201,162333,21302,4395
2019-03-22,167841,15850,104675,123689,299935,54646,231611,0,14993,6377,162591,20591,4533
